2026-02-16 14:06:44 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-02-16 18:26:44 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2026-02-16 18:29:50 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-02-16 18:29:54 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-02-16 18:30:14 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2026-02-16 18:32:33 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-02-16 18:32:39 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-02-16 18:33:46 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2026-02-17 19:54:39 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-02-17 19:54:48 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-02-17 19:59:15 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-02-17 19:59:24 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-02-17 20:00:29 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2026-02-18 17:18:32 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-02-18 17:18:37 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-02-18 17:20:03 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2026-02-18 17:21:55 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-02-18 17:21:58 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-02-18 17:23:05 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
